Ime_dat,MD,PRP$,VBG,RB,NN,VBD,CC,PDT,JJS,VB,VBN,TO,VBP,WDT,EX,JJ,IN,VBZ,DT,NNS,PRP,Flesch,Kincaid,Num_words,Num_signs,Num_chars,Num_sentence
1.txt,4.0,5.0,0,12.0,41.0,5.0,8.0,0,0,17.0,3.0,10.0,14.0,0,0,19.0,13.0,1.0,19.0,8.0,12.0,95.8525961538,2.31198717949,195,230,682,20
10.txt,1.0,2.0,6.0,6.0,11.0,3.0,6.0,0,0,4.0,0,3.0,5.0,0,0,7.0,6.0,3.0,3.0,2.0,2.0,92.35092723,3.31795774648,71,85,253,6
11.txt,0,0,1.0,1.0,7.0,1.0,1.0,0,0,2.0,0,2.0,5.0,0,0,4.0,2.0,0,2.0,2.0,1.0,100.0,0.913235294118,34,41,117,4
12.txt,0,2.0,3.0,2.0,11.0,0,0,0,0,3.0,0,0,2.0,1.0,0,5.0,3.0,3.0,3.0,3.0,1.0,81.9021428571,3.32619047619,42,53,180,7
13.txt,6.0,2.0,0,3.0,17.0,3.0,1.0,0,0,10.0,1.0,4.0,1.0,1.0,0,4.0,4.0,6.0,17.0,5.0,1.0,100.0,0.733066933067,92,106,309,11
14.txt,1.0,6.0,0,2.0,7.0,0,0,0,0,1.0,0,0,4.0,0,0,2.0,5.0,0,2.0,3.0,0,65.6672727273,12.0,33,37,121,1
15.txt,3.0,0,1.0,13.0,10.0,0,5.0,0,0,8.0,3.0,3.0,2.0,0,0,3.0,10.0,3.0,4.0,2.0,3.0,83.391375,3.95691666667,75,93,301,8
16.txt,1.0,1.0,1.0,0,5.0,1.0,0,0,0,6.0,0,5.0,1.0,0,0,4.0,2.0,0,3.0,3.0,1.0,91.5994642857,2.65678571429,35,42,129,4
17.txt,0,0,1.0,1.0,2.0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,2.0,2.0,0,2.0,100.0,0.0,13,17,47,3
18.txt,7.0,4.0,4.0,4.0,28.0,1.0,5.0,2.0,2.0,18.0,9.0,5.0,22.0,0,0,18.0,17.0,5.0,12.0,4.0,17.0,84.291,3.88733333333,193,225,760,20
19.txt,0,2.0,0,0,2.0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,1.0,0,1.0,0,100.0,0.0,9,11,30,2
2.txt,0,0,0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,1.0,1.0,0,2.0,1.0,0,46.1682142857,7.68928571429,7,8,33,2
20.txt,0,0,0,0,7.0,0,3.0,0,0,1.0,1.0,1.0,0,0,0,6.0,5.0,3.0,5.0,1.0,1.0,50.3827027027,12.0,37,39,152,1
