Ime_dat,MD,PRP$,VBG,RB,NN,VBD,CC,PDT,JJS,VB,VBN,TO,VBP,WDT,EX,JJ,IN,VBZ,DT,NNS,PRP,Flesch,Kincaid
1.txt,2.0,5.0,1.0,4.0,18.0,2.0,3.0,1.0,1.0,7.0,1.0,4.0,3.0,2.0,1.0,10.0,14.0,3.0,5.0,1.0,10.0,76.4430408163,7.46624489796
10.txt,1.0,1.0,0,4.0,4.0,1.0,0,0,0,1.0,1.0,0,2.0,0,0,3.0,2.0,1.0,3.0,2.0,4.0,110.151027027,-0.266162162162
11.txt,11.0,11.0,2.0,17.0,71.0,3.0,14.0,0,1.0,20.0,4.0,4.0,24.0,0,0,29.0,41.0,10.0,27.0,16.0,16.0,80.637,5.29133333333
12.txt,4.0,6.0,6.0,13.0,30.0,9.0,5.0,0,1.0,7.0,6.0,2.0,5.0,0,0,11.0,15.0,2.0,14.0,5.0,11.0,84.5191297468,6.37705696203
13.txt,4.0,3.0,9.0,8.0,20.0,1.0,3.0,1.0,0,7.0,1.0,3.0,7.0,1.0,0,8.0,12.0,1.0,6.0,15.0,8.0,73.0125052521,6.77091386555
2.txt,0,2.0,0,1.0,3.0,0,0,0,0,1.0,0,1.0,1.0,0,0,3.0,0,0,0,0,0,81.855,4.82333333333
3.txt,2.0,8.0,4.0,14.0,27.0,22.0,8.0,1.0,0,12.0,0,3.0,15.0,1.0,0,9.0,11.0,2.0,5.0,2.0,26.0,98.4404906334,1.84315789474
4.txt,6.0,6.0,6.0,22.0,51.0,18.0,8.0,0,2.0,14.0,5.0,7.0,10.0,0,0,10.0,20.0,5.0,10.0,1.0,17.0,78.436,8.52977777778
5.txt,5.0,10.0,3.0,14.0,28.0,3.0,11.0,1.0,0,20.0,0,9.0,17.0,0,0,14.0,18.0,3.0,10.0,16.0,10.0,84.2306965382,4.25734505863
6.txt,5.0,12.0,4.0,11.0,24.0,4.0,9.0,1.0,0,21.0,8.0,11.0,20.0,0,0,12.0,21.0,8.0,18.0,15.0,22.0,95.3303868828,2.51173913043
7.txt,2.0,2.0,0,2.0,14.0,2.0,1.0,0,0,2.0,3.0,0,3.0,0,1.0,4.0,9.0,1.0,12.0,2.0,4.0,96.97,2.46666666667
8.txt,1.0,2.0,0,1.0,5.0,0,0,0,0,4.0,1.0,2.0,2.0,0,0,1.0,4.0,0,0,1.0,1.0,83.324,7.848
9.txt,0,3.0,0,7.0,13.0,0,2.0,0,0,12.0,0,6.0,14.0,0,0,12.0,5.0,0,5.0,3.0,7.0,100.573511236,0.810634028892
