Attribute,Completers Mean (SD),Elicitors Mean (SD)
Flesch score,19.584577022264448,39.361020408165004
Flesch-Kincaid grade,30.22051117145137,21.432789115665
MD,1.7142857142857142,1.0
VB,5.9523809523809526,4.0
VBG,1.492063492063492,0.5
RB,4.492063492063492,2.5
NN,13.746031746031745,10.5
VBD,3.111111111111111,1.0
CC,3.2222222222222223,1.5
PDT,0.20634920634920634,0.5
JJS,0.1746031746031746,0.5
PRP$,2.1587301587301586,3.5
VBN,1.7619047619047619,0.5
TO,2.5238095238095237,2.5
VBP,4.809523809523809,2.0
WDT,0.25396825396825395,1.0
PRP,5.253968253968254,5.0
JJ,6.682539682539683,6.5
IN,7.158730158730159,7.0
VBZ,1.7301587301587302,1.5
DT,6.603174603174603,2.5
NNS,3.2698412698412698,0.5
EX,0.12698412698412698,0.5
