Ime_dat,MD,PRP$,VBG,RB,NN,VBD,CC,PDT,JJS,VB,VBN,TO,VBP,WDT,EX,JJ,IN,VBZ,DT,NNS,PRP,Flesch,Kincaid,Num_words,Num_signs,Num_chars,Num_sentence
48.txt,2.0,1.0,0,12.0,30.0,7.0,9.0,0,0,12.0,8.0,7.0,15.0,2.0,0,13.0,22.0,1.0,14.0,3.0,17.0,90.7911538462,4.03555555556,181,222,642,14
49.txt,5.0,9.0,0,9.0,33.0,10.0,11.0,0,1.0,16.0,2.0,6.0,15.0,4.0,0,15.0,17.0,7.0,13.0,6.0,31.0,95.8269565217,2.21565217391,215,260,835,22
50.txt,3.0,3.0,2.0,11.0,23.0,11.0,6.0,0,0,9.0,3.0,0,7.0,0,0,10.0,15.0,0,6.0,5.0,13.0,85.0157587065,4.17544776119,134,156,564,11
51.txt,0,4.0,5.0,4.0,32.0,1.0,6.0,0,1.0,7.0,2.0,9.0,6.0,2.0,0,13.0,17.0,2.0,16.0,7.0,2.0,53.0733513189,11.6119064748,150,192,619,13
52.txt,6.0,6.0,5.0,28.0,57.0,11.0,24.0,1.0,1.0,25.0,8.0,11.0,26.0,1.0,1.0,32.0,22.0,8.0,23.0,12.0,18.0,92.99,3.30571428571,342,394,1185,28
53.txt,1.0,4.0,2.0,5.0,8.0,1.0,4.0,0,0,10.0,0,4.0,4.0,0,0,6.0,4.0,1.0,0,0,6.0,82.3586774194,4.8524516129,62,68,237,4
54.txt,2.0,4.0,0,4.0,13.0,0,1.0,0,0,6.0,0,3.0,3.0,0,0,6.0,5.0,2.0,7.0,1.0,4.0,41.4125,12.0,70,86,250,1
55.txt,0,1.0,0,0,1.0,0,0,0,0,0,0,0,3.0,0,0,1.0,1.0,0,0,1.0,1.0,100.0,0.0,9,12,31,4
56.txt,6.0,4.0,3.0,10.0,27.0,5.0,6.0,2.0,0,10.0,4.0,2.0,7.0,1.0,0,12.0,16.0,4.0,24.0,8.0,5.0,92.7646689387,3.33987341772,158,180,598,13
57.txt,0,5.0,1.0,8.0,18.0,4.0,6.0,0,0,9.0,6.0,2.0,13.0,0,0,9.0,8.0,1.0,8.0,3.0,11.0,91.1106739812,3.1710031348,119,154,474,11
58.txt,2.0,2.0,2.0,8.0,23.0,6.0,4.0,0,0,13.0,3.0,5.0,3.0,0,0,12.0,11.0,1.0,3.0,4.0,8.0,98.304025974,2.07733766234,112,144,446,15
59.txt,4.0,8.0,2.0,20.0,28.0,13.0,9.0,2.0,1.0,22.0,2.0,10.0,15.0,1.0,1.0,21.0,17.0,7.0,18.0,10.0,33.0,71.4338,12.0,250,285,934,8
60.txt,4.0,7.0,10.0,18.0,77.0,46.0,13.0,0,0,30.0,8.0,19.0,26.0,2.0,1.0,35.0,43.0,2.0,41.0,24.0,41.0,90.4932305471,3.50334863095,478,556,1825,41
61.txt,2.0,6.0,11.0,16.0,72.0,38.0,13.0,0,0,22.0,4.0,6.0,15.0,0,0,20.0,31.0,4.0,32.0,25.0,30.0,91.7518925519,2.97366300366,366,442,1390,36
62.txt,1.0,2.0,0,3.0,3.0,0,2.0,0,0,1.0,2.0,0,1.0,0,0,1.0,2.0,1.0,0,1.0,1.0,91.8427272727,3.18181818182,22,26,91,2
63.txt,1.0,0,1.0,0,4.0,1.0,1.0,0,0,2.0,1.0,0,3.0,0,0,2.0,3.0,0,2.0,1.0,2.0,100.0,1.04714285714,27,45,112,3
